phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,2.23966418,0.11495340,0.76750000
before,0.0000,1.2000,1.62182005,0.05300856,1.00000000
before,0.0000,1.6000,1.55261920,0.01876063,1.00000000
after,0.0000,0.8000,1.52277949,0.10244462,1.00000000
after,0.0000,1.2000,1.51061503,0.07136951,1.00000000
after,0.0000,1.6000,1.57677942,0.01759381,0.95000000
