phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.56833827,0.01955660,0.90250000
after,0.0000,0.8000,1.85913778,0.07620082,1.00000000
