phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,0.85498096,0.01704806,0.35750000
before,0.0000,1.2000,3.14159265,3.14159265,0.00000000
before,0.0000,1.6000,3.14159265,3.14159265,0.00000000
before,0.0000,2.0000,3.14159265,3.14159265,0.00000000
after,0.0000,0.8000,3.14159265,3.14159265,0.00000000
after,0.0000,1.2000,3.14159265,3.14159265,0.00000000
after,0.0000,1.6000,3.14159265,3.14159265,0.00000000
after,0.0000,2.0000,3.14159265,3.14159265,0.00000000
