phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.78028412,0.09062440,0.78500000
before,0.0000,1.2000,1.44909968,0.11954986,1.00000000
before,0.0000,1.6000,1.55467562,0.01779315,0.99500000
after,0.0000,0.8000,1.50128624,0.20788439,1.00000000
after,0.0000,1.2000,1.65801931,0.10496890,1.00000000
after,0.0000,1.6000,1.49293622,0.04982250,0.94500000
