checkpoint_t_s,mon_rate_hz,mon_active_fraction
0.000000,0.000000,0.000000
6.000000,13.561250,1.000000
12.000000,15.017448,1.000000
18.000000,13.951562,1.000000
24.000000,12.944010,1.000000
