phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,2.24972869,0.13557684,0.81500000
before,0.0000,1.2000,1.66463532,0.10356462,1.00000000
before,0.0000,1.6000,1.55332304,0.01758864,1.00000000
after,0.0000,0.8000,1.45982045,0.18583830,1.00000000
after,0.0000,1.2000,1.78012228,0.10953142,1.00000000
after,0.0000,1.6000,1.50847041,0.08253177,0.99750000
