phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.55510000,0.02628879,0.84000000
after,0.0000,0.8000,1.64658623,0.12415507,0.96500000
