phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,2.09921503,0.18070521,0.85250000
before,0.0000,1.2000,1.65797452,0.13534499,1.00000000
before,0.0000,1.6000,1.55275284,0.01756051,1.00000000
after,0.0000,0.8000,1.72610084,0.09331623,0.97250000
after,0.0000,1.2000,1.49803249,0.08145601,1.00000000
after,0.0000,1.6000,1.51609921,0.01770038,0.96750000
