phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.73761151,0.06233167,0.77000000
before,0.0000,1.2000,1.56189739,0.10838231,1.00000000
before,0.0000,1.6000,1.57130028,0.01740208,0.95250000
after,0.0000,0.8000,1.35392539,0.13356737,1.00000000
after,0.0000,1.2000,1.55684445,0.06284682,1.00000000
after,0.0000,1.6000,1.54897455,0.06163235,0.99500000
