phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.55495067,0.05531097,0.77250000
before,0.0000,1.2000,1.76544400,0.12647834,1.00000000
before,0.0000,1.6000,1.54939037,0.01758300,0.99000000
after,0.0000,0.8000,1.55893156,0.13849332,1.00000000
after,0.0000,1.2000,1.59102332,0.04256845,0.99500000
after,0.0000,1.6000,1.55322600,0.01764005,1.00000000
