phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,0.52363030,0.23255793,0.79000000
before,0.0000,1.2000,1.74228291,0.17123408,1.00000000
before,0.0000,1.6000,1.80676012,0.25720785,1.00000000
after,0.0000,0.8000,1.62261904,0.10919304,1.00000000
after,0.0000,1.2000,1.54827896,0.11794363,1.00000000
after,0.0000,1.6000,2.93473182,0.20891533,1.00000000
