phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,1.2000,1.96682032,0.17657983,0.80750000
after,0.0000,1.2000,1.39670252,0.27731117,0.98000000
