phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,0.73357533,0.20547201,0.79500000
before,0.0000,1.2000,1.50719671,0.21040082,1.00000000
before,0.0000,1.6000,1.78540305,0.19782410,0.99500000
after,0.0000,0.8000,1.54733120,0.15833878,1.00000000
after,0.0000,1.2000,1.44069931,0.18000861,1.00000000
after,0.0000,1.6000,1.67538973,0.16696747,1.00000000
