phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.24308953,0.03014487,0.60250000
before,0.0000,1.2000,3.14159265,3.14159265,0.00000000
before,0.0000,1.6000,3.14159265,3.14159265,0.00000000
before,0.0000,2.0000,3.14159265,3.14159265,0.00000000
after,0.0000,0.8000,0.30360364,0.49341152,0.19750000
after,0.0000,1.2000,3.14159265,3.14159265,0.00000000
after,0.0000,1.6000,3.14159265,3.14159265,0.00000000
after,0.0000,2.0000,3.14159265,3.14159265,0.00000000
