phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,2.02555789,0.11373682,0.76750000
before,0.0000,1.2000,1.47872996,0.10327439,1.00000000
before,0.0000,1.6000,1.50542431,0.02191244,0.98000000
after,0.0000,0.8000,1.52771551,0.32485801,1.00000000
after,0.0000,1.2000,1.51888045,0.28779930,1.00000000
after,0.0000,1.6000,1.48098015,0.09393155,0.99000000
