phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,2.04617969,0.08898035,0.77250000
before,0.0000,1.2000,1.28429019,0.12323208,1.00000000
before,0.0000,1.6000,1.55288800,0.01745288,0.99000000
after,0.0000,0.8000,1.28100535,0.08374104,1.00000000
after,0.0000,1.2000,1.54713797,0.11495313,1.00000000
after,0.0000,1.6000,1.55231595,0.01761811,0.96750000
