phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.58045573,0.09857314,0.78750000
after,0.0000,0.8000,1.98257459,0.59652911,0.81500000
