phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.75936249,0.32516168,0.67000000
before,0.0000,1.2000,1.28647175,0.01581826,0.26250000
before,0.0000,1.6000,3.14159265,3.14159265,0.00000000
before,0.0000,2.0000,3.14159265,3.14159265,0.00000000
after,0.0000,0.8000,1.65573272,0.45297136,0.77750000
after,0.0000,1.2000,3.14159265,3.14159265,0.00000000
after,0.0000,1.6000,3.14159265,3.14159265,0.00000000
after,0.0000,2.0000,3.14159265,3.14159265,0.00000000
