phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,1.2000,1.60883358,0.03119833,0.87500000
after,0.0000,1.2000,1.72151877,0.08174226,1.00000000
