phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.54572656,0.07145410,0.81750000
after,0.0000,0.8000,1.84800038,0.19884580,0.48750000
