phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,2.03030625,0.09622314,0.77250000
before,0.0000,1.2000,1.55237536,0.05795395,1.00000000
before,0.0000,1.6000,1.51696939,0.01762080,0.96750000
after,0.0000,0.8000,1.30243212,0.08427880,1.00000000
after,0.0000,1.2000,1.38727777,0.09195449,1.00000000
after,0.0000,1.6000,1.55292266,0.01760521,0.94750000
