phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.81805652,0.11488434,0.88000000
after,0.0000,0.8000,1.57846818,0.10953794,1.00000000
