phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,1.96257864,0.27192335,0.81500000
before,0.0000,1.2000,1.52387067,0.25683494,1.00000000
before,0.0000,1.6000,1.83314257,0.11969802,1.00000000
after,0.0000,0.8000,1.59869254,0.37696125,1.00000000
after,0.0000,1.2000,1.92779372,0.23982503,1.00000000
after,0.0000,1.6000,1.54219255,0.03497072,0.95000000
