phase,noise_scale,distance_cm,pv_sigma_theta,pv_delta_trial,pv_valid_fraction
before,0.0000,0.8000,0.72689668,0.11223652,0.84000000
before,0.0000,1.2000,1.54760750,0.06796080,1.00000000
before,0.0000,1.6000,1.65023970,0.20238246,1.00000000
after,0.0000,0.8000,1.66241719,0.06299593,1.00000000
after,0.0000,1.2000,1.41917897,0.06053615,1.00000000
after,0.0000,1.6000,1.57614551,0.11393413,1.00000000
